month,churn_rate
2024-05,0.05285714285714286
2024-06,0.013666666666666666
2024-07,0.012903225806451613
2024-08,0.014516129032258063
2024-09,0.018333333333333333
2024-10,0.023870967741935485
2024-11,0.014333333333333333
2024-12,0.02258064516129032
2025-01,0.02064516129032258
2025-02,0.011428571428571429
2025-03,0.01793103448275862
2025-04,0.028666666666666667
2025-05,0.017096774193548388
2025-06,0.02
2025-07,0.017333333333333333
2025-08,0.02
2025-09,0.014333333333333333
2025-10,0.015161290322580645
2025-11,0.040370370370370376
